maintenance_event_id,site_id,part_id,event_date,equipment_id,status,days_non_mission_capable,backlog_days,defect_flag
126,SITE-031,PART-6817,2024-09-15,EQ-4255,in_progress,5,38,True
127,SITE-007,PART-8925,2026-02-26,EQ-9795,open,23,15,False
128,SITE-030,PART-6676,2026-04-12,EQ-3241,in_progress,22,45,False
129,SITE-014,PART-3153,2026-02-23,EQ-6045,in_progress,23,23,False
130,SITE-009,PART-5972,2024-02-10,EQ-4877,completed,0,0,False
131,SITE-026,PART-6866,2026-04-25,EQ-5712,in_progress,9,30,False
132,SITE-079,PART-1373,2024-10-06,EQ-8741,in_progress,30,4,False
133,SITE-018,PART-7574,2026-10-21,EQ-1730,awaiting_parts,7,12,False
134,SITE-083,PART-6809,2026-03-16,EQ-9629,awaiting_parts,28,41,False
135,SITE-073,PART-6389,2023-06-18,EQ-4394,in_progress,20,17,False
136,SITE-074,PART-4842,2026-11-28,EQ-7173,completed,10,0,False
137,SITE-083,PART-6496,2025-09-28,EQ-8718,awaiting_parts,24,10,False
138,SITE-018,PART-4185,2024-03-14,EQ-7621,awaiting_parts,27,3,False
139,SITE-025,PART-3468,2023-12-24,EQ-6209,in_progress,3,19,False
140,SITE-041,PART-5498,2023-01-17,EQ-4628,in_progress,17,23,False
141,SITE-095,PART-6521,2023-02-02,EQ-4054,deferred,19,29,False
142,SITE-027,PART-8764,2025-03-28,EQ-1229,deferred,12,4,False
143,SITE-030,PART-1894,2023-09-19,EQ-8491,awaiting_parts,29,16,False
144,SITE-098,PART-6752,2024-01-21,EQ-7218,deferred,4,1,False
145,SITE-003,PART-7057,2023-05-23,EQ-1299,deferred,19,40,False
146,SITE-086,PART-7791,2025-02-14,EQ-5627,in_progress,3,7,False
147,SITE-055,PART-4084,2024-11-02,EQ-5280,in_progress,21,37,False
148,SITE-085,PART-9595,2026-11-17,EQ-1826,open,21,31,False
149,SITE-027,PART-3907,2023-08-21,EQ-4101,in_progress,4,43,False
150,SITE-071,PART-3727,2025-09-18,EQ-6078,open,1,28,False
151,SITE-082,PART-7567,2026-02-11,EQ-1311,awaiting_parts,7,18,False
152,SITE-040,PART-3286,2026-11-09,EQ-5340,deferred,6,1,False
153,SITE-068,PART-7209,2024-12-15,EQ-8787,awaiting_parts,21,32,False
154,SITE-086,PART-3720,2026-09-26,EQ-8945,awaiting_parts,16,5,False
155,SITE-001,PART-1127,2026-04-08,EQ-5613,in_progress,7,30,False
156,SITE-002,PART-9588,2026-12-25,EQ-6923,in_progress,13,27,False
157,SITE-028,PART-2322,2023-05-24,EQ-8325,awaiting_parts,11,19,False
158,SITE-022,PART-4659,2024-04-17,EQ-3289,in_progress,13,3,False
159,SITE-014,PART-6708,2024-06-04,EQ-9785,awaiting_parts,25,12,False
160,SITE-015,PART-5149,2024-09-14,EQ-4593,completed,7,0,False
161,SITE-049,PART-6765,2025-05-02,EQ-1783,completed,7,0,False
162,SITE-033,PART-1200,2026-05-01,EQ-5956,open,13,13,False
163,SITE-056,PART-6842,2025-06-19,EQ-6915,in_progress,5,11,False
164,SITE-060,PART-2654,2025-03-07,EQ-7591,completed,2,0,False
165,SITE-061,PART-2123,2024-07-15,EQ-7692,completed,0,0,False
166,SITE-071,PART-7231,2024-08-21,EQ-6949,in_progress,5,31,False
167,SITE-077,PART-2848,2023-12-09,EQ-4511,in_progress,29,18,False
168,SITE-021,PART-7073,2025-01-05,EQ-2054,open,1,32,False
169,SITE-097,PART-4229,2026-09-27,EQ-9403,completed,10,0,True
170,SITE-017,PART-6477,2026-06-06,EQ-2413,open,19,31,False
171,SITE-050,PART-6338,2026-12-22,EQ-5589,completed,1,0,False
172,SITE-020,PART-4658,2025-03-24,EQ-9769,completed,10,0,False
173,SITE-030,PART-2776,2023-04-01,EQ-6156,awaiting_parts,18,32,False
174,SITE-045,PART-2299,2023-09-06,EQ-9139,open,21,36,False
175,SITE-100,PART-9687,2024-04-08,EQ-4023,open,9,20,False
176,SITE-031,PART-7567,2026-08-18,EQ-1458,completed,8,0,False
177,SITE-100,PART-9764,2025-01-25,EQ-3158,in_progress,11,30,True
178,SITE-043,PART-1304,2023-11-13,EQ-9454,in_progress,11,27,False
179,SITE-021,PART-4306,2023-08-10,EQ-4131,open,4,42,False
180,SITE-006,PART-3474,2023-02-09,EQ-8329,awaiting_parts,19,20,False
181,SITE-084,PART-3851,2023-02-06,EQ-7748,awaiting_parts,5,23,False
182,SITE-062,PART-5118,2025-08-15,EQ-4406,awaiting_parts,17,30,True
183,SITE-036,PART-2982,2023-12-12,EQ-8956,completed,10,0,False
184,SITE-039,PART-3154,2024-03-22,EQ-4732,open,5,33,False
185,SITE-083,PART-5270,2024-08-13,EQ-3934,awaiting_parts,16,21,False
186,SITE-059,PART-6436,2025-08-03,EQ-9328,deferred,8,1,False
187,SITE-047,PART-5697,2023-06-27,EQ-7843,deferred,29,17,False
188,SITE-024,PART-4100,2023-07-21,EQ-5956,awaiting_parts,27,31,False
189,SITE-048,PART-6779,2026-05-03,EQ-7074,awaiting_parts,2,42,True
190,SITE-037,PART-2623,2024-08-24,EQ-2608,deferred,15,5,False
191,SITE-012,PART-5286,2023-05-09,EQ-3579,in_progress,13,7,False
192,SITE-071,PART-5912,2025-05-28,EQ-3038,deferred,15,31,False
193,SITE-010,PART-1200,2026-02-05,EQ-3602,completed,4,0,False
194,SITE-099,PART-3590,2023-07-25,EQ-1822,completed,9,0,False
195,SITE-025,PART-5871,2025-06-18,EQ-3503,open,30,28,False
196,SITE-036,PART-6016,2023-09-02,EQ-8165,deferred,19,40,False
197,SITE-086,PART-4562,2025-11-09,EQ-7677,awaiting_parts,25,37,False
198,SITE-099,PART-5118,2024-02-12,EQ-1817,in_progress,15,24,False
199,SITE-068,PART-7589,2026-05-15,EQ-6113,deferred,4,38,False
200,SITE-091,PART-8844,2025-07-15,EQ-8716,deferred,27,17,False
201,SITE-086,PART-6832,2026-11-27,EQ-3536,deferred,17,19,False
202,SITE-093,PART-7438,2025-04-08,EQ-1068,open,25,24,False
203,SITE-027,PART-3933,2024-04-22,EQ-2831,in_progress,16,3,False
204,SITE-093,PART-2907,2026-12-11,EQ-3164,deferred,12,3,False
205,SITE-091,PART-3017,2026-11-19,EQ-9061,open,29,6,False
206,SITE-001,PART-4236,2025-12-03,EQ-6837,completed,7,0,False
207,SITE-011,PART-7812,2025-05-17,EQ-9986,completed,6,0,False
208,SITE-046,PART-8739,2023-11-04,EQ-8689,deferred,10,28,True
209,SITE-048,PART-2387,2026-01-06,EQ-1556,awaiting_parts,18,4,False
210,SITE-028,PART-2913,2023-03-21,EQ-6232,deferred,17,44,False
211,SITE-078,PART-1885,2023-03-25,EQ-4334,open,4,15,False
212,SITE-069,PART-6629,2024-05-16,EQ-6233,in_progress,18,27,False
213,SITE-007,PART-5460,2025-08-26,EQ-5936,in_progress,23,39,False
214,SITE-023,PART-3702,2026-12-01,EQ-6210,awaiting_parts,23,41,False
215,SITE-089,PART-1867,2023-08-11,EQ-4286,open,8,9,True
216,SITE-031,PART-7152,2025-04-18,EQ-9927,in_progress,7,23,False
217,SITE-077,PART-5871,2024-12-14,EQ-6011,in_progress,1,17,False
218,SITE-064,PART-3474,2025-07-04,EQ-8098,deferred,22,30,False
219,SITE-092,PART-4492,2023-08-16,EQ-7253,in_progress,7,31,False
220,SITE-005,PART-3203,2024-12-18,EQ-8773,awaiting_parts,16,44,False
221,SITE-026,PART-5004,2024-07-18,EQ-4735,completed,10,0,False
222,SITE-032,PART-1373,2024-12-04,EQ-9690,awaiting_parts,3,45,False
223,SITE-030,PART-3390,2024-04-10,EQ-9727,awaiting_parts,18,26,False
224,SITE-073,PART-4424,2026-05-09,EQ-5618,in_progress,7,38,False
225,SITE-030,PART-8611,2026-11-09,EQ-7184,awaiting_parts,4,15,False
226,SITE-094,PART-1576,2026-11-04,EQ-1894,open,17,1,False
227,SITE-032,PART-5070,2023-12-09,EQ-3147,deferred,18,29,True
228,SITE-007,PART-4474,2024-11-27,EQ-8967,completed,7,0,False
229,SITE-013,PART-5153,2025-06-06,EQ-8958,deferred,10,32,False
230,SITE-072,PART-1200,2024-04-05,EQ-7374,in_progress,11,29,False
231,SITE-023,PART-7232,2026-08-22,EQ-3487,deferred,16,37,False
232,SITE-063,PART-5270,2024-08-21,EQ-1413,completed,9,0,False
233,SITE-075,PART-5295,2025-03-21,EQ-5910,completed,2,0,False
234,SITE-032,PART-2907,2024-12-24,EQ-4712,awaiting_parts,7,42,False
235,SITE-058,PART-1926,2026-07-26,EQ-4051,in_progress,17,35,False
236,SITE-065,PART-5638,2024-05-26,EQ-5592,open,10,45,False
237,SITE-083,PART-8623,2026-03-07,EQ-8555,completed,8,0,False
238,SITE-020,PART-4493,2026-07-05,EQ-8862,open,19,34,False
239,SITE-041,PART-7592,2025-01-20,EQ-8881,awaiting_parts,8,15,True
240,SITE-057,PART-1036,2026-06-20,EQ-5171,awaiting_parts,3,15,False
241,SITE-079,PART-9595,2024-10-28,EQ-9632,in_progress,3,26,False
242,SITE-063,PART-5199,2023-01-27,EQ-6189,completed,8,0,False
243,SITE-037,PART-2494,2025-09-06,EQ-5562,in_progress,28,25,False
244,SITE-082,PART-5160,2024-04-09,EQ-4108,completed,4,0,False
245,SITE-069,PART-2299,2025-12-05,EQ-5877,open,25,11,False
246,SITE-057,PART-5878,2025-02-09,EQ-4426,completed,10,0,False
247,SITE-035,PART-3083,2025-12-08,EQ-3793,in_progress,3,31,False
248,SITE-078,PART-8516,2025-09-06,EQ-2613,awaiting_parts,11,7,False
249,SITE-029,PART-4236,2026-10-20,EQ-2566,awaiting_parts,7,34,False
250,SITE-039,PART-6111,2023-10-10,EQ-9933,in_progress,6,8,True
251,SITE-061,PART-1176,2025-01-07,EQ-5043,awaiting_parts,29,19,False
252,SITE-005,PART-4583,2025-08-09,EQ-9659,awaiting_parts,24,22,True
253,SITE-031,PART-7199,2023-09-16,EQ-9508,awaiting_parts,4,43,False
254,SITE-028,PART-7653,2025-01-20,EQ-5509,open,15,6,False
255,SITE-084,PART-5460,2025-04-12,EQ-7606,awaiting_parts,21,19,False
256,SITE-021,PART-6523,2025-04-02,EQ-7306,completed,8,0,False
257,SITE-004,PART-8696,2024-01-13,EQ-5844,deferred,7,20,False
258,SITE-062,PART-7774,2025-10-26,EQ-1482,open,4,29,False
259,SITE-085,PART-9341,2023-05-20,EQ-5054,in_progress,29,42,False
260,SITE-054,PART-5503,2024-04-21,EQ-5115,open,7,45,False
261,SITE-081,PART-5940,2026-09-11,EQ-2400,in_progress,15,22,False
262,SITE-038,PART-6733,2023-10-14,EQ-3335,deferred,22,39,False
263,SITE-086,PART-9213,2025-08-22,EQ-6234,deferred,27,24,False
264,SITE-021,PART-9010,2024-05-24,EQ-3155,awaiting_parts,22,5,False
265,SITE-082,PART-9588,2024-06-18,EQ-8110,in_progress,10,28,False
266,SITE-035,PART-9069,2024-05-27,EQ-5435,completed,4,0,False
267,SITE-032,PART-7438,2023-11-18,EQ-6635,awaiting_parts,4,23,False
268,SITE-089,PART-4493,2023-12-02,EQ-3140,awaiting_parts,29,21,False
269,SITE-091,PART-5104,2023-09-15,EQ-8055,completed,2,0,False
270,SITE-070,PART-2744,2024-07-21,EQ-5193,open,3,25,False
271,SITE-045,PART-5790,2024-02-25,EQ-5869,completed,1,0,False
272,SITE-027,PART-8449,2026-06-24,EQ-7255,in_progress,3,17,False
273,SITE-049,PART-3257,2023-08-12,EQ-9052,open,7,42,False
274,SITE-044,PART-4335,2024-07-25,EQ-6449,open,16,22,True
275,SITE-076,PART-5961,2025-07-07,EQ-7365,completed,4,0,False
276,SITE-027,PART-6809,2026-03-16,EQ-3055,awaiting_parts,18,37,False
277,SITE-097,PART-6166,2026-05-22,EQ-3694,in_progress,3,20,False
278,SITE-085,PART-7287,2026-10-15,EQ-9078,awaiting_parts,5,15,True
279,SITE-062,PART-1055,2024-10-07,EQ-9241,deferred,11,10,False
280,SITE-045,PART-2694,2025-07-27,EQ-7419,awaiting_parts,22,38,True
281,SITE-068,PART-6640,2026-11-22,EQ-7817,open,29,31,True
282,SITE-057,PART-6797,2025-03-22,EQ-9743,awaiting_parts,4,27,False
283,SITE-028,PART-7231,2026-01-15,EQ-1765,deferred,23,13,True
284,SITE-049,PART-6358,2025-05-16,EQ-3217,open,28,45,False
285,SITE-096,PART-8250,2026-07-06,EQ-2103,awaiting_parts,4,4,False
286,SITE-030,PART-1754,2024-02-12,EQ-4964,deferred,8,40,False
287,SITE-034,PART-6236,2026-12-21,EQ-5603,deferred,15,10,False
288,SITE-007,PART-9009,2023-03-09,EQ-7501,open,18,16,False
289,SITE-002,PART-1708,2023-07-10,EQ-8491,deferred,7,35,False
290,SITE-081,PART-3030,2023-05-20,EQ-1309,open,17,17,False
291,SITE-054,PART-9743,2024-03-28,EQ-8398,awaiting_parts,17,10,False
292,SITE-017,PART-9430,2023-12-10,EQ-9977,awaiting_parts,19,14,False
293,SITE-047,PART-1832,2026-12-06,EQ-3123,completed,10,0,False
294,SITE-006,PART-8696,2024-09-21,EQ-5026,deferred,14,43,False
295,SITE-093,PART-8097,2025-05-27,EQ-8148,in_progress,8,29,False
296,SITE-054,PART-7438,2023-08-20,EQ-1415,completed,7,0,False
297,SITE-020,PART-4400,2025-08-10,EQ-7888,open,12,44,False
298,SITE-012,PART-9631,2026-03-23,EQ-5041,completed,6,0,False
299,SITE-023,PART-1190,2023-03-09,EQ-2449,deferred,14,39,False
300,SITE-034,PART-9204,2023-11-07,EQ-8641,completed,1,0,False
301,SITE-059,PART-6338,2024-06-24,EQ-8246,open,18,2,False
302,SITE-072,PART-2800,2023-11-27,EQ-7467,awaiting_parts,25,28,True
303,SITE-067,PART-3087,2023-10-23,EQ-2430,completed,6,0,False
304,SITE-066,PART-9702,2026-08-13,EQ-5520,completed,8,0,False
305,SITE-007,PART-7973,2025-03-20,EQ-4823,in_progress,2,21,False
306,SITE-094,PART-6438,2025-06-21,EQ-5487,open,6,40,False
307,SITE-066,PART-6669,2024-01-24,EQ-8152,open,8,42,False
308,SITE-048,PART-2546,2024-05-17,EQ-4963,deferred,10,21,False
309,SITE-085,PART-8050,2026-06-01,EQ-6185,open,21,27,False
310,SITE-097,PART-2070,2024-01-26,EQ-4343,deferred,27,8,False
311,SITE-011,PART-4256,2024-06-20,EQ-2405,in_progress,2,21,False
312,SITE-071,PART-3719,2025-10-01,EQ-6001,awaiting_parts,13,8,False
313,SITE-001,PART-8097,2026-03-08,EQ-8794,deferred,6,9,False
314,SITE-048,PART-1624,2023-07-21,EQ-3923,deferred,8,14,False
315,SITE-078,PART-3793,2024-11-13,EQ-4598,completed,9,0,True
316,SITE-003,PART-9826,2023-11-20,EQ-7604,in_progress,27,4,False
317,SITE-085,PART-9495,2026-01-21,EQ-2375,deferred,3,38,False
318,SITE-031,PART-5282,2023-04-26,EQ-9773,awaiting_parts,17,43,False
319,SITE-060,PART-3716,2026-10-15,EQ-2849,deferred,6,37,False
320,SITE-039,PART-2627,2025-09-16,EQ-3142,awaiting_parts,15,42,False
321,SITE-007,PART-7567,2026-06-09,EQ-4805,in_progress,3,6,False
322,SITE-072,PART-6731,2024-07-08,EQ-3514,deferred,3,34,True
323,SITE-045,PART-8032,2023-05-08,EQ-1249,in_progress,26,27,False
324,SITE-041,PART-4474,2024-02-04,EQ-7929,in_progress,15,4,False
325,SITE-061,PART-6166,2026-04-01,EQ-9268,deferred,3,40,False
326,SITE-040,PART-2327,2023-07-18,EQ-6064,open,12,9,False
327,SITE-074,PART-6223,2026-10-03,EQ-5747,open,3,39,False
328,SITE-010,PART-7574,2024-02-18,EQ-4965,completed,4,0,False
329,SITE-010,PART-4548,2023-09-01,EQ-9074,awaiting_parts,15,32,False
330,SITE-025,PART-1584,2025-09-19,EQ-1038,open,20,3,False
331,SITE-062,PART-8583,2024-12-23,EQ-5604,deferred,8,25,True
332,SITE-074,PART-6722,2024-02-23,EQ-4829,completed,2,0,False
333,SITE-097,PART-5519,2023-11-23,EQ-5851,awaiting_parts,7,17,False
334,SITE-008,PART-4584,2024-12-15,EQ-4799,in_progress,22,5,False
335,SITE-053,PART-3516,2026-11-28,EQ-9061,awaiting_parts,12,17,False
336,SITE-082,PART-9950,2024-10-16,EQ-5840,awaiting_parts,14,36,False
337,SITE-053,PART-3654,2024-03-16,EQ-2530,in_progress,17,30,False
338,SITE-019,PART-3487,2023-10-23,EQ-4448,completed,9,0,False
339,SITE-065,PART-8714,2025-10-28,EQ-2257,awaiting_parts,18,16,True
340,SITE-052,PART-6446,2023-06-01,EQ-4924,awaiting_parts,26,11,False
341,SITE-100,PART-7063,2024-03-24,EQ-5690,awaiting_parts,10,34,False
342,SITE-097,PART-2665,2025-04-25,EQ-1055,deferred,17,17,True
343,SITE-019,PART-1200,2023-04-17,EQ-2481,in_progress,25,3,False
344,SITE-047,PART-2627,2023-09-18,EQ-4476,completed,1,0,False
345,SITE-055,PART-2798,2023-01-04,EQ-3647,awaiting_parts,3,6,False
346,SITE-001,PART-2710,2023-07-10,EQ-4966,deferred,18,30,False
347,SITE-063,PART-1036,2024-07-27,EQ-9104,completed,4,0,False
348,SITE-044,PART-6322,2025-07-24,EQ-6794,open,3,28,False
349,SITE-069,PART-3388,2024-02-01,EQ-9659,completed,10,0,False
350,SITE-058,PART-3388,2026-11-17,EQ-6990,open,23,28,False
351,SITE-087,PART-8092,2025-04-14,EQ-4166,deferred,30,11,True
352,SITE-027,PART-9106,2024-07-14,EQ-6880,open,6,12,False
353,SITE-047,PART-8618,2023-08-15,EQ-5953,deferred,24,15,False
354,SITE-053,PART-8623,2023-05-12,EQ-9050,awaiting_parts,3,38,False
355,SITE-097,PART-4539,2025-06-16,EQ-1591,completed,5,0,False
356,SITE-014,PART-3361,2023-05-27,EQ-4566,deferred,30,17,False
357,SITE-066,PART-7990,2025-05-06,EQ-8793,in_progress,3,35,False
358,SITE-010,PART-3531,2025-07-07,EQ-5324,awaiting_parts,17,2,False
359,SITE-060,PART-4513,2025-10-26,EQ-6923,in_progress,3,34,False
360,SITE-042,PART-6835,2023-12-14,EQ-5279,in_progress,9,11,False
