order_id,order_supplier_name,order_supplier_id,order_part_id,order_quantity,order_status,order_created_at,order_updated_at,site_id
232,Lone Star Equipment Group,LSEG,PART-0070,170,delivered,2024-08-23,2024-09-18,SITE-059
233,Trident Marine Components,TMC,PART-0508,562,pending,2025-06-21,2025-07-02,SITE-034
234,Gulf Coast Maintenance Parts,GCMP,PART-0297,884,delivered,2025-10-21,2025-11-13,SITE-011
235,Gulf Coast Maintenance Parts,GCMP,PART-0133,751,shipped,2026-09-27,2026-10-01,SITE-066
236,Apex Defense Components,ADC,PART-0104,898,pending,2023-04-25,2023-05-18,SITE-012
237,Liberty Mechanical Systems,LMS,PART-0666,272,pending,2026-05-06,2026-05-13,SITE-048
238,Cedar Valley Manufacturing,CVM,PART-0001,9,delivered,2024-10-03,2024-10-11,SITE-028
239,Vector Aerospace Supply,VAS,PART-0253,22,delivered,2023-08-25,2023-09-17,SITE-067
240,Sentinel Equipment Supply,SES,PART-0110,477,delivered,2025-09-28,2025-10-08,SITE-001
241,Mesa Tactical Manufacturing,MTM,PART-0148,770,pending,2025-07-08,2025-07-14,SITE-052
242,Keystone Industrial Supply,KIS,PART-0718,424,pending,2025-03-03,2025-03-31,SITE-016
243,Cedar Valley Manufacturing,CVM,PART-0871,502,delivered,2023-03-22,2023-04-08,SITE-083
244,Summit Tactical Supply,STS,PART-0648,542,delivered,2025-12-02,2025-12-11,SITE-022
245,Apex Defense Components,ADC,PART-0336,352,shipped,2024-01-06,2024-01-31,SITE-066
246,Redstone Logistics Group,RLG,PART-0645,697,shipped,2026-04-25,2026-04-28,SITE-051
247,Redstone Logistics Group,RLG,PART-0159,330,delivered,2024-01-18,2024-01-20,SITE-096
248,Frontier Aviation Components,FAC,PART-0235,694,delivered,2026-09-25,2026-10-05,SITE-004
249,Trident Marine Components,TMC,PART-0765,948,shipped,2026-10-06,2026-10-11,SITE-043
250,Keystone Industrial Supply,KIS,PART-0862,6,delivered,2023-01-02,2023-01-03,SITE-041
251,Pinnacle Hydraulic Systems,PHS,PART-0463,400,pending,2024-10-04,2024-10-14,SITE-094
252,Harborline Industrial Supply,HIS,PART-0797,278,delivered,2023-05-23,2023-06-09,SITE-038
253,Trident Marine Components,TMC,PART-0070,283,shipped,2025-05-09,2025-05-23,SITE-006
254,Titan Mobility Systems,TMS,PART-0788,667,shipped,2026-06-23,2026-07-19,SITE-021
255,Sentinel Equipment Supply,SES,PART-0719,434,delivered,2024-07-18,2024-08-10,SITE-029
256,Northstar Defense Supply,NDS,PART-0951,956,delivered,2026-07-13,2026-07-21,SITE-042
257,Sterling Power Systems,SPS,PART-0697,436,delivered,2026-02-16,2026-03-04,SITE-053
258,Sterling Power Systems,SPS,PART-0243,400,shipped,2023-06-14,2023-07-03,SITE-027
259,Cascade Aerospace Systems,CAS,PART-0893,559,delivered,2026-03-04,2026-03-24,SITE-096
260,Keystone Industrial Supply,KIS,PART-0739,630,delivered,2025-12-17,2025-12-29,SITE-089
261,Vector Aerospace Supply,VAS,PART-0394,656,pending,2023-11-27,2023-12-19,SITE-024
262,Mesa Tactical Manufacturing,MTM,PART-0153,774,shipped,2026-05-08,2026-05-30,SITE-042
263,Harborline Industrial Supply,HIS,PART-0670,511,delivered,2024-01-03,2024-01-15,SITE-024
264,Granite State Components,GSC,PART-0072,490,delivered,2023-12-24,2024-01-13,SITE-058
265,Ironclad Industrial Systems,IIS,PART-0765,810,delivered,2026-08-10,2026-08-24,SITE-020
266,Ironclad Industrial Systems,IIS,PART-0210,705,shipped,2023-02-04,2023-02-07,SITE-099
267,Heritage Logistics Supply,HLS,PART-0867,200,delivered,2026-05-22,2026-05-26,SITE-087
268,Cedar Valley Manufacturing,CVM,PART-0866,291,shipped,2026-11-12,2026-12-11,SITE-078
269,Liberty Mechanical Systems,LMS,PART-0179,238,delivered,2023-02-07,2023-03-03,SITE-086
270,Patriot Precision Parts,PPP,PART-0769,884,pending,2023-06-03,2023-06-11,SITE-057
271,Harborline Industrial Supply,HIS,PART-0053,830,delivered,2023-02-27,2023-03-24,SITE-021
272,Evergreen Field Support,EFS,PART-0008,99,delivered,2024-02-17,2024-03-03,SITE-061
273,Sentinel Equipment Supply,SES,PART-0795,979,pending,2023-06-20,2023-07-19,SITE-049
274,Prairie Technical Components,PTC,PART-0237,791,delivered,2025-04-02,2025-04-27,SITE-060
275,Prairie Technical Components,PTC,PART-0885,131,delivered,2026-12-02,2026-12-03,SITE-035
276,Granite State Components,GSC,PART-0280,794,pending,2023-05-26,2023-06-04,SITE-074
277,Sentinel Equipment Supply,SES,PART-0693,497,delivered,2025-04-05,2025-04-21,SITE-098
278,Ranger Vehicle Parts,RVP,PART-0799,86,shipped,2024-02-02,2024-02-19,SITE-072
279,Northstar Defense Supply,NDS,PART-0808,246,shipped,2023-08-27,2023-09-04,SITE-075
280,Atlas Ground Support,AGS,PART-0517,63,delivered,2024-12-25,2025-01-12,SITE-003
281,Vector Aerospace Supply,VAS,PART-0824,357,shipped,2026-03-06,2026-03-13,SITE-087
