inventory_id,site_id,part_id,quantity_on_hand,quantity_allocated,quantity_available,reorder_point,safety_stock,stockout_flag,below_reorder_point,below_safety_stock,days_of_supply,snapshot_date
36,SITE-041,PART-0531,314,110,204,22,21,False,False,False,11.3,2023-05-16
37,SITE-072,PART-0404,241,129,112,42,14,False,False,False,6.2,2024-05-03
38,SITE-089,PART-0553,339,5,334,31,26,False,False,False,15.2,2026-11-17
39,SITE-045,PART-0691,245,82,163,54,29,False,False,False,10.2,2026-11-13
40,SITE-035,PART-0663,77,55,22,91,89,False,True,True,1.4,2024-12-28
41,SITE-083,PART-0172,466,3,463,53,30,False,False,False,92.6,2026-07-22
42,SITE-086,PART-0190,1,1,0,34,25,True,True,True,0.0,2026-06-07
43,SITE-022,PART-0902,201,6,195,40,26,False,False,False,8.5,2026-03-20
44,SITE-094,PART-0131,455,66,389,97,41,False,False,False,19.4,2025-07-03
45,SITE-008,PART-0728,29,25,4,87,20,False,True,True,1.3,2024-04-16
46,SITE-035,PART-0757,48,44,4,64,39,False,True,True,0.2,2023-02-08
47,SITE-012,PART-0603,112,102,10,36,31,False,True,True,2.0,2025-09-26
48,SITE-009,PART-0789,250,58,192,25,24,False,False,False,19.2,2026-12-14
49,SITE-056,PART-0802,284,205,79,50,26,False,False,False,7.9,2026-11-03
50,SITE-007,PART-0662,57,19,38,32,14,False,False,False,2.7,2025-06-04
51,SITE-014,PART-0978,58,52,6,57,47,False,True,True,0.5,2024-04-24
52,SITE-065,PART-0506,85,26,59,47,15,False,False,False,59.0,2023-06-25
53,SITE-093,PART-0346,439,379,60,73,39,False,True,False,5.0,2024-10-03
54,SITE-046,PART-0158,427,380,47,91,16,False,True,False,1.9,2024-10-21
55,SITE-006,PART-0783,128,118,10,85,58,False,True,True,0.8,2025-11-21
56,SITE-072,PART-0343,251,126,125,39,27,False,False,False,5.0,2024-04-05
57,SITE-058,PART-0589,280,57,223,27,15,False,False,False,55.8,2026-02-24
58,SITE-095,PART-0580,28,17,11,28,22,False,True,True,1.4,2025-08-14
59,SITE-057,PART-0178,199,177,22,65,16,False,True,False,1.3,2026-04-04
60,SITE-022,PART-0335,411,290,121,85,19,False,False,False,6.7,2023-06-19
61,SITE-040,PART-0553,3,3,0,35,32,True,True,True,0.0,2026-10-11
62,SITE-094,PART-0736,459,281,178,60,23,False,False,False,89.0,2025-07-27
63,SITE-019,PART-0745,437,342,95,93,51,False,False,False,31.7,2024-07-03
64,SITE-012,PART-0654,265,142,123,45,14,False,False,False,41.0,2024-11-04
65,SITE-084,PART-0122,171,88,83,76,65,False,False,False,13.8,2024-01-05
66,SITE-005,PART-0892,36,22,14,95,49,False,True,True,4.7,2026-10-25
67,SITE-022,PART-0212,406,404,2,63,24,False,True,True,0.1,2024-03-07
68,SITE-011,PART-0767,36,26,10,46,45,False,True,True,1.0,2023-05-03
69,SITE-098,PART-0462,82,70,12,85,51,False,True,True,1.7,2025-07-13
70,SITE-060,PART-0384,214,204,10,87,58,False,True,True,0.6,2025-03-15
71,SITE-012,PART-0835,287,65,222,63,50,False,False,False,44.4,2023-12-24
72,SITE-090,PART-0556,307,45,262,25,22,False,False,False,43.7,2023-12-10
73,SITE-075,PART-0338,462,233,229,40,40,False,False,False,13.5,2023-01-16
74,SITE-048,PART-0931,259,183,76,44,39,False,False,False,8.4,2025-09-07
75,SITE-094,PART-0810,25,25,0,90,74,True,True,True,0.0,2023-01-18
76,SITE-023,PART-0203,289,7,282,52,26,False,False,False,25.6,2025-12-10
77,SITE-070,PART-0152,484,158,326,89,12,False,False,False,29.6,2025-05-22
78,SITE-065,PART-0042,373,97,276,89,20,False,False,False,55.2,2023-04-24
79,SITE-094,PART-0699,405,102,303,32,19,False,False,False,101.0,2025-11-25
80,SITE-048,PART-0606,126,69,57,40,34,False,False,False,14.2,2026-06-21
81,SITE-089,PART-0241,256,242,14,77,69,False,True,True,1.6,2024-02-04
82,SITE-042,PART-0161,204,164,40,52,29,False,True,False,4.0,2026-11-27
83,SITE-021,PART-0643,317,200,117,40,16,False,False,False,23.4,2025-09-14
84,SITE-043,PART-0321,423,173,250,70,12,False,False,False,19.2,2023-12-14
85,SITE-079,PART-0021,452,345,107,84,61,False,False,False,4.5,2026-09-22
86,SITE-080,PART-0990,443,230,213,34,22,False,False,False,9.7,2026-12-06
87,SITE-053,PART-0306,409,89,320,42,23,False,False,False,24.6,2026-10-09
88,SITE-075,PART-0567,384,83,301,81,22,False,False,False,75.2,2025-03-19
89,SITE-026,PART-0188,235,15,220,57,17,False,False,False,11.0,2023-06-04
90,SITE-014,PART-0463,57,22,35,94,53,False,True,True,3.9,2023-07-22
91,SITE-087,PART-0408,292,77,215,63,44,False,False,False,13.4,2025-02-28
92,SITE-072,PART-0159,52,43,9,55,50,False,True,True,0.5,2023-05-12
93,SITE-073,PART-0917,414,282,132,34,29,False,False,False,9.4,2025-09-01
94,SITE-085,PART-0996,156,63,93,28,14,False,False,False,7.8,2026-08-20
95,SITE-061,PART-0546,263,228,35,83,74,False,True,True,3.5,2026-10-04
96,SITE-074,PART-0317,229,200,29,94,75,False,True,True,29.0,2026-08-07
97,SITE-090,PART-0591,74,6,68,77,34,False,True,False,3.0,2024-07-13
98,SITE-018,PART-0100,482,81,401,39,18,False,False,False,36.5,2024-09-12
99,SITE-013,PART-0185,463,142,321,92,82,False,False,False,32.1,2026-12-07
100,SITE-028,PART-0040,169,134,35,45,34,False,True,False,1.9,2023-05-01
101,SITE-075,PART-0702,11,9,2,75,40,False,True,True,0.1,2026-04-14
102,SITE-068,PART-0286,2,0,2,65,35,False,True,True,1.0,2026-11-07
103,SITE-053,PART-0654,107,6,101,55,50,False,False,False,7.2,2023-03-12
104,SITE-093,PART-0305,208,68,140,40,21,False,False,False,6.7,2023-08-18
105,SITE-006,PART-0305,116,34,82,24,10,False,False,False,3.9,2024-11-14
106,SITE-070,PART-0939,301,159,142,31,13,False,False,False,11.8,2026-01-01
107,SITE-028,PART-0821,165,96,69,99,32,False,True,False,7.7,2025-02-12
108,SITE-012,PART-0936,409,65,344,77,55,False,False,False,14.3,2024-02-28
109,SITE-025,PART-0118,13,5,8,47,18,False,True,True,0.4,2026-06-18
110,SITE-028,PART-0297,217,117,100,84,57,False,False,False,7.7,2023-03-26
111,SITE-056,PART-0347,27,21,6,73,33,False,True,True,0.5,2025-08-16
112,SITE-018,PART-0330,157,127,30,24,24,False,False,False,1.2,2026-09-04
113,SITE-074,PART-0176,212,30,182,69,23,False,False,False,20.2,2024-02-21
114,SITE-076,PART-0815,405,242,163,90,75,False,False,False,7.1,2026-08-07
115,SITE-053,PART-0974,224,172,52,89,57,False,True,True,17.3,2024-09-27
116,SITE-050,PART-0674,36,10,26,27,22,False,True,False,1.1,2026-06-23
117,SITE-059,PART-0675,421,89,332,31,18,False,False,False,332.0,2025-11-28
118,SITE-019,PART-0481,201,13,188,68,15,False,False,False,7.8,2023-03-08
119,SITE-059,PART-0675,141,113,28,86,36,False,True,True,1.4,2023-05-15
120,SITE-030,PART-0869,275,6,269,23,17,False,False,False,16.8,2025-05-05
121,SITE-035,PART-0578,397,271,126,92,10,False,False,False,6.0,2023-06-07
122,SITE-096,PART-0859,246,120,126,62,14,False,False,False,14.0,2025-12-01
123,SITE-014,PART-0410,327,252,75,82,42,False,True,False,3.0,2025-07-03
124,SITE-081,PART-0863,456,339,117,63,36,False,False,False,8.4,2023-01-16
125,SITE-006,PART-0436,285,54,231,84,43,False,False,False,10.0,2025-04-09
126,SITE-092,PART-0734,225,66,159,44,15,False,False,False,19.9,2025-02-07
127,SITE-008,PART-0851,8,4,4,78,78,False,True,True,0.2,2025-09-10
128,SITE-099,PART-0597,359,352,7,97,25,False,True,True,1.2,2026-02-01
129,SITE-079,PART-0691,479,304,175,36,13,False,False,False,15.9,2024-02-10
130,SITE-036,PART-0666,261,143,118,37,18,False,False,False,7.4,2025-12-25
131,SITE-062,PART-0648,56,17,39,28,14,False,False,False,9.8,2026-03-16
132,SITE-094,PART-0572,234,123,111,39,39,False,False,False,55.5,2024-01-26
133,SITE-068,PART-0575,252,142,110,22,20,False,False,False,110.0,2026-12-24
134,SITE-098,PART-0158,73,21,52,55,47,False,True,False,3.7,2026-06-11
135,SITE-034,PART-0383,479,406,73,49,23,False,False,False,3.3,2025-10-23
136,SITE-037,PART-0318,208,139,69,49,14,False,False,False,13.8,2023-04-09
137,SITE-097,PART-0587,160,33,127,96,93,False,False,False,31.8,2023-09-12
138,SITE-082,PART-0969,428,203,225,46,16,False,False,False,32.1,2026-01-01
139,SITE-008,PART-0257,134,16,118,81,55,False,False,False,6.2,2026-02-13
140,SITE-053,PART-0615,444,156,288,51,10,False,False,False,13.1,2024-01-12
141,SITE-035,PART-0579,291,21,270,40,11,False,False,False,11.7,2026-10-24
142,SITE-089,PART-0597,283,215,68,83,24,False,True,False,6.2,2025-04-02
143,SITE-018,PART-0519,132,41,91,37,29,False,False,False,7.0,2024-10-11
144,SITE-029,PART-0649,451,96,355,52,19,False,False,False,25.4,2024-03-14
145,SITE-066,PART-0187,264,78,186,26,24,False,False,False,8.9,2026-05-08
146,SITE-077,PART-0928,57,32,25,35,19,False,True,False,1.8,2024-10-15
147,SITE-017,PART-0810,258,60,198,29,22,False,False,False,39.6,2024-01-13
148,SITE-025,PART-0334,482,438,44,91,31,False,True,False,8.8,2025-08-21
149,SITE-096,PART-0141,464,376,88,25,13,False,False,False,4.9,2026-10-22
150,SITE-040,PART-0540,442,28,414,82,46,False,False,False,103.5,2025-06-15
151,SITE-096,PART-0996,245,148,97,23,18,False,False,False,3.9,2025-08-17
152,SITE-055,PART-0794,462,458,4,38,34,False,True,True,0.4,2026-09-28
153,SITE-023,PART-0359,150,118,32,60,52,False,True,True,2.5,2024-06-10
154,SITE-074,PART-0668,159,13,146,27,14,False,False,False,10.4,2023-03-23
155,SITE-084,PART-0173,132,90,42,65,64,False,True,True,2.3,2025-08-23
156,SITE-006,PART-0254,48,1,47,35,20,False,False,False,11.8,2023-03-01
157,SITE-037,PART-0928,70,11,59,72,12,False,True,False,4.9,2024-09-16
158,SITE-080,PART-0212,329,15,314,32,11,False,False,False,17.4,2025-09-10
159,SITE-056,PART-0160,184,33,151,44,30,False,False,False,12.6,2023-12-23
160,SITE-044,PART-0099,261,192,69,67,30,False,False,False,23.0,2023-04-17
161,SITE-002,PART-0696,498,347,151,55,38,False,False,False,6.6,2025-06-19
162,SITE-022,PART-0516,368,47,321,29,16,False,False,False,18.9,2024-05-05
163,SITE-090,PART-0876,448,191,257,87,45,False,False,False,17.1,2023-10-21
164,SITE-085,PART-0614,346,293,53,70,69,False,True,True,2.2,2024-01-20
165,SITE-091,PART-0127,102,75,27,40,36,False,True,True,1.4,2024-06-07
166,SITE-072,PART-0273,5,5,0,97,75,True,True,True,0.0,2023-10-18
167,SITE-007,PART-0136,389,74,315,26,20,False,False,False,19.7,2024-02-04
168,SITE-061,PART-0147,420,243,177,67,56,False,False,False,12.6,2025-06-27
169,SITE-054,PART-0199,345,187,158,28,27,False,False,False,7.2,2023-09-09
170,SITE-093,PART-0026,381,355,26,61,59,False,True,True,1.2,2025-09-26
171,SITE-014,PART-0997,214,49,165,45,11,False,False,False,9.7,2024-10-22
172,SITE-035,PART-0915,259,9,250,37,31,False,False,False,50.0,2024-03-15
173,SITE-016,PART-0730,483,124,359,61,26,False,False,False,119.7,2024-03-28
174,SITE-045,PART-0183,40,11,29,50,33,False,True,True,29.0,2024-07-09
175,SITE-031,PART-0855,380,159,221,28,21,False,False,False,14.7,2023-04-03
176,SITE-037,PART-0010,273,79,194,99,67,False,False,False,21.6,2023-08-04
177,SITE-010,PART-0796,174,29,145,30,18,False,False,False,7.2,2023-02-13
178,SITE-034,PART-0774,169,112,57,56,53,False,False,False,9.5,2023-01-21
179,SITE-049,PART-0275,500,355,145,68,64,False,False,False,20.7,2025-03-15
180,SITE-043,PART-0375,422,324,98,41,11,False,False,False,8.9,2024-04-10
181,SITE-097,PART-0041,472,293,179,55,18,False,False,False,8.1,2023-10-04
182,SITE-035,PART-0913,476,461,15,97,38,False,True,True,1.0,2024-09-17
183,SITE-052,PART-0715,102,90,12,99,48,False,True,True,1.5,2024-07-01
184,SITE-019,PART-0733,18,11,7,47,35,False,True,True,1.0,2023-08-02
185,SITE-095,PART-0151,486,215,271,22,10,False,False,False,271.0,2023-07-23
186,SITE-094,PART-0271,82,71,11,23,10,False,True,False,5.5,2024-11-23
187,SITE-056,PART-0083,38,27,11,28,14,False,True,True,0.5,2023-01-15
188,SITE-005,PART-0465,369,49,320,49,25,False,False,False,32.0,2026-08-26
189,SITE-035,PART-0583,358,200,158,31,31,False,False,False,10.5,2024-12-12
190,SITE-096,PART-0147,402,391,11,67,28,False,True,True,5.5,2023-07-27
191,SITE-052,PART-0616,237,1,236,20,12,False,False,False,13.1,2026-06-22
192,SITE-041,PART-0913,381,289,92,26,20,False,False,False,30.7,2023-02-18
193,SITE-046,PART-0299,493,63,430,73,72,False,False,False,143.3,2026-11-24
194,SITE-018,PART-0301,183,59,124,73,70,False,False,False,7.8,2025-03-03
195,SITE-005,PART-0998,484,146,338,29,24,False,False,False,84.5,2026-10-20
196,SITE-017,PART-0301,161,91,70,100,59,False,True,False,35.0,2023-04-06
197,SITE-076,PART-0677,17,3,14,21,15,False,True,True,0.8,2023-03-27
198,SITE-004,PART-0787,289,67,222,48,28,False,False,False,13.9,2026-04-09
199,SITE-067,PART-0246,339,203,136,82,62,False,False,False,19.4,2025-03-19
200,SITE-030,PART-0189,390,71,319,47,40,False,False,False,39.9,2025-12-17
201,SITE-062,PART-0167,231,190,41,48,19,False,True,False,3.4,2025-02-14
202,SITE-071,PART-0918,112,102,10,72,63,False,True,True,0.5,2025-02-25
203,SITE-056,PART-0928,5,5,0,90,47,True,True,True,0.0,2024-03-28
204,SITE-017,PART-0771,202,43,159,67,50,False,False,False,7.6,2024-10-18
205,SITE-026,PART-0824,225,209,16,34,27,False,True,True,0.8,2026-03-22
206,SITE-044,PART-0897,7,7,0,94,74,True,True,True,0.0,2023-07-23
207,SITE-074,PART-0260,114,47,67,84,28,False,True,False,2.7,2026-12-04
208,SITE-087,PART-0154,349,150,199,30,27,False,False,False,9.5,2025-05-18
209,SITE-046,PART-0861,180,29,151,33,31,False,False,False,21.6,2025-09-19
210,SITE-069,PART-0502,261,137,124,54,13,False,False,False,124.0,2024-05-10
211,SITE-100,PART-0662,17,10,7,55,42,False,True,True,0.4,2026-01-14
212,SITE-010,PART-0263,170,119,51,57,19,False,True,False,2.5,2023-08-15
213,SITE-095,PART-0166,491,0,491,49,10,False,False,False,20.5,2024-08-12
214,SITE-095,PART-0716,289,177,112,53,42,False,False,False,37.3,2026-01-05
215,SITE-051,PART-0819,273,273,0,32,25,True,True,True,0.0,2023-11-09
216,SITE-090,PART-0519,99,29,70,94,79,False,True,True,5.4,2023-06-08
217,SITE-008,PART-0147,445,333,112,37,23,False,False,False,6.2,2025-08-17
218,SITE-042,PART-0987,335,230,105,55,40,False,False,False,35.0,2025-06-19
219,SITE-007,PART-0955,410,383,27,44,26,False,True,False,2.2,2025-02-16
220,SITE-099,PART-0973,491,249,242,97,19,False,False,False,11.5,2024-03-22
221,SITE-011,PART-0576,198,176,22,82,64,False,True,True,2.0,2026-12-08
222,SITE-085,PART-0032,392,185,207,61,12,False,False,False,10.9,2025-05-19
223,SITE-040,PART-0724,431,175,256,38,10,False,False,False,256.0,2024-08-11
224,SITE-046,PART-0564,296,196,100,97,69,False,False,False,6.7,2025-11-28
225,SITE-078,PART-0945,86,45,41,81,27,False,True,False,4.6,2025-04-10
226,SITE-045,PART-0032,42,18,24,84,40,False,True,True,1.0,2026-05-01
227,SITE-090,PART-0536,249,226,23,85,39,False,True,True,1.0,2023-12-14
228,SITE-094,PART-0763,412,401,11,47,20,False,True,True,2.2,2025-06-23
229,SITE-054,PART-0472,98,16,82,80,43,False,False,False,9.1,2025-06-10
230,SITE-010,PART-0927,123,69,54,24,20,False,False,False,3.4,2025-11-16
231,SITE-069,PART-0135,469,67,402,38,20,False,False,False,30.9,2025-10-22
232,SITE-038,PART-0173,98,51,47,79,42,False,True,False,2.0,2023-01-03
233,SITE-033,PART-0750,211,118,93,97,82,False,True,False,31.0,2023-09-09
234,SITE-085,PART-0644,144,107,37,71,51,False,True,True,2.6,2026-05-28
235,SITE-030,PART-0042,337,163,174,62,40,False,False,False,9.2,2026-01-09
236,SITE-094,PART-0311,216,162,54,23,12,False,False,False,3.4,2025-04-08
237,SITE-023,PART-0795,12,10,2,95,88,False,True,True,0.1,2023-03-27
238,SITE-082,PART-0751,244,80,164,89,79,False,False,False,11.7,2023-11-14
239,SITE-034,PART-0816,478,465,13,80,34,False,True,True,0.6,2024-09-01
240,SITE-070,PART-0548,480,221,259,93,83,False,False,False,11.8,2026-06-03
241,SITE-048,PART-0711,398,47,351,49,12,False,False,False,19.5,2026-02-23
242,SITE-089,PART-0056,130,60,70,27,12,False,False,False,2.8,2023-09-22
243,SITE-037,PART-0850,415,412,3,31,19,False,True,True,0.1,2023-07-05
244,SITE-043,PART-0103,457,62,395,72,41,False,False,False,26.3,2024-12-07
245,SITE-007,PART-0192,9,0,9,44,35,False,True,True,1.8,2023-04-09
246,SITE-009,PART-0262,438,92,346,47,14,False,False,False,24.7,2025-11-20
247,SITE-088,PART-0628,92,48,44,77,15,False,True,False,2.0,2025-10-20
248,SITE-098,PART-0221,363,276,87,39,14,False,False,False,21.8,2026-07-15
249,SITE-021,PART-0659,362,144,218,20,17,False,False,False,24.2,2023-09-23
250,SITE-048,PART-0597,245,196,49,29,24,False,False,False,3.3,2023-07-23
251,SITE-073,PART-0396,178,145,33,52,20,False,True,False,6.6,2026-04-27
252,SITE-032,PART-0747,174,82,92,36,26,False,False,False,5.4,2026-09-11
253,SITE-056,PART-0716,45,31,14,79,18,False,True,True,0.9,2024-05-17
254,SITE-087,PART-0037,466,302,164,38,16,False,False,False,8.2,2025-09-06
255,SITE-040,PART-0401,453,150,303,94,69,False,False,False,15.2,2025-10-27
256,SITE-009,PART-0554,175,135,40,42,20,False,True,False,1.7,2025-03-03
257,SITE-092,PART-0625,429,375,54,67,29,False,True,False,2.2,2024-07-09
258,SITE-039,PART-0725,453,436,17,54,41,False,True,True,0.9,2026-02-11
259,SITE-094,PART-0674,372,14,358,63,12,False,False,False,14.3,2024-06-07
260,SITE-005,PART-0523,294,186,108,81,45,False,False,False,12.0,2023-08-22
261,SITE-022,PART-0618,448,298,150,84,62,False,False,False,18.8,2026-07-27
262,SITE-049,PART-0787,461,64,397,54,24,False,False,False,23.4,2023-01-02
263,SITE-058,PART-0822,204,171,33,47,39,False,True,True,4.7,2024-08-18
264,SITE-005,PART-0724,499,313,186,84,60,False,False,False,8.5,2025-02-03
265,SITE-048,PART-0407,34,13,21,43,22,False,True,True,1.6,2026-02-10
266,SITE-043,PART-0869,280,139,141,44,26,False,False,False,6.4,2024-06-14
267,SITE-056,PART-0374,101,66,35,71,29,False,True,False,4.4,2025-08-10
268,SITE-060,PART-0418,287,231,56,96,52,False,True,False,2.3,2024-11-02
269,SITE-012,PART-0205,182,68,114,96,96,False,False,False,5.2,2024-06-26
270,SITE-091,PART-0223,423,176,247,56,16,False,False,False,27.4,2025-12-18
271,SITE-095,PART-0846,348,136,212,55,38,False,False,False,10.1,2023-11-10
272,SITE-031,PART-0804,158,130,28,61,36,False,True,True,4.7,2024-09-28
273,SITE-006,PART-0698,117,19,98,94,51,False,False,False,10.9,2025-03-08
274,SITE-067,PART-0815,138,88,50,81,26,False,True,False,2.4,2025-12-10
275,SITE-034,PART-0775,249,91,158,24,20,False,False,False,9.3,2023-01-09
276,SITE-021,PART-0442,13,9,4,21,17,False,True,True,1.0,2026-11-27
277,SITE-058,PART-0460,499,247,252,21,19,False,False,False,50.4,2024-06-10
278,SITE-005,PART-0815,375,370,5,95,20,False,True,True,1.2,2026-06-27
279,SITE-029,PART-0383,406,297,109,43,28,False,False,False,4.4,2025-12-25
280,SITE-033,PART-0977,280,54,226,31,14,False,False,False,13.3,2025-05-19
281,SITE-094,PART-0070,196,170,26,87,60,False,True,True,2.4,2025-02-22
282,SITE-060,PART-0835,108,47,61,28,11,False,False,False,3.6,2026-03-17
283,SITE-058,PART-0810,92,14,78,52,20,False,False,False,8.7,2026-05-04
284,SITE-089,PART-0619,372,65,307,91,57,False,False,False,153.5,2026-05-28
285,SITE-059,PART-0385,500,395,105,64,46,False,False,False,4.2,2023-06-02
286,SITE-026,PART-0464,256,11,245,66,38,False,False,False,18.8,2026-01-24
287,SITE-005,PART-0792,77,51,26,40,31,False,True,True,1.2,2024-04-15
288,SITE-063,PART-0632,81,69,12,75,36,False,True,True,1.7,2026-05-13
289,SITE-004,PART-0542,205,16,189,24,10,False,False,False,8.6,2023-02-01
290,SITE-054,PART-0809,33,25,8,47,31,False,True,True,0.5,2026-08-12
291,SITE-028,PART-0976,380,210,170,27,27,False,False,False,85.0,2025-06-10
292,SITE-080,PART-0886,84,55,29,86,80,False,True,True,4.1,2023-11-03
293,SITE-067,PART-0584,259,58,201,35,15,False,False,False,15.5,2024-01-16
294,SITE-001,PART-0347,75,69,6,54,16,False,True,True,0.2,2024-05-02
295,SITE-057,PART-0423,343,206,137,95,62,False,False,False,10.5,2025-03-21
296,SITE-019,PART-0022,170,143,27,90,60,False,True,True,27.0,2024-12-19
297,SITE-051,PART-0918,480,134,346,88,85,False,False,False,15.7,2023-04-10
298,SITE-026,PART-0020,362,40,322,34,10,False,False,False,13.4,2025-02-21
299,SITE-018,PART-0758,277,224,53,57,41,False,True,False,3.3,2026-07-15
300,SITE-095,PART-0201,397,196,201,50,34,False,False,False,9.1,2023-06-17
301,SITE-001,PART-0237,205,24,181,46,42,False,False,False,16.5,2024-09-16
302,SITE-049,PART-0265,17,17,0,72,36,True,True,True,0.0,2026-08-13
303,SITE-081,PART-0348,242,215,27,86,51,False,True,True,1.7,2023-09-06
304,SITE-074,PART-0696,163,134,29,96,72,False,True,True,4.8,2025-01-28
305,SITE-045,PART-0998,51,34,17,26,10,False,True,False,0.8,2026-07-15
306,SITE-045,PART-0829,319,223,96,89,81,False,False,False,5.6,2025-10-25
307,SITE-093,PART-0819,224,1,223,82,57,False,False,False,27.9,2025-02-22
308,SITE-021,PART-0160,254,38,216,87,60,False,False,False,19.6,2024-03-15
309,SITE-096,PART-0004,133,47,86,35,25,False,False,False,7.8,2026-11-04
310,SITE-069,PART-0530,228,173,55,35,20,False,False,False,2.9,2025-07-17
311,SITE-097,PART-0026,492,76,416,39,17,False,False,False,18.1,2025-07-01
312,SITE-002,PART-0182,228,151,77,31,11,False,False,False,4.8,2025-06-07
313,SITE-062,PART-0701,15,0,15,32,20,False,True,True,0.6,2024-06-15
314,SITE-086,PART-0697,500,362,138,64,56,False,False,False,6.6,2026-05-14
315,SITE-029,PART-0960,311,31,280,26,15,False,False,False,140.0,2026-10-10
316,SITE-078,PART-0652,283,67,216,97,26,False,False,False,10.3,2023-01-19
317,SITE-099,PART-0951,258,200,58,84,44,False,True,False,5.8,2025-05-16
318,SITE-085,PART-0839,464,156,308,78,71,False,False,False,14.7,2025-08-01
319,SITE-065,PART-0465,8,2,6,86,84,False,True,True,0.3,2026-01-15
320,SITE-080,PART-0975,387,262,125,58,56,False,False,False,7.8,2024-06-13
321,SITE-018,PART-0163,158,21,137,50,45,False,False,False,45.7,2025-11-15
322,SITE-073,PART-0560,24,17,7,20,16,False,True,True,0.5,2024-12-06
323,SITE-010,PART-0216,491,371,120,25,16,False,False,False,7.1,2024-10-11
324,SITE-064,PART-0304,397,396,1,57,26,False,True,True,0.1,2025-03-09
325,SITE-074,PART-0261,401,320,81,57,23,False,False,False,7.4,2023-05-18
326,SITE-049,PART-0773,379,247,132,45,43,False,False,False,6.0,2024-10-19
327,SITE-069,PART-0194,277,58,219,26,16,False,False,False,12.9,2026-12-01
328,SITE-059,PART-0344,17,7,10,32,29,False,True,True,0.4,2024-08-14
329,SITE-012,PART-0776,271,271,0,71,34,True,True,True,0.0,2023-06-04
330,SITE-043,PART-0362,306,57,249,86,78,False,False,False,249.0,2026-03-07
331,SITE-094,PART-0812,166,69,97,60,53,False,False,False,10.8,2024-06-06
332,SITE-094,PART-0267,213,177,36,62,31,False,True,False,2.6,2026-05-02
333,SITE-003,PART-0761,301,194,107,58,52,False,False,False,107.0,2023-08-22
334,SITE-015,PART-0266,346,13,333,61,58,False,False,False,33.3,2023-08-27
335,SITE-024,PART-0770,445,80,365,96,87,False,False,False,60.8,2026-12-03
336,SITE-053,PART-0584,145,145,0,28,16,True,True,True,0.0,2025-08-16
337,SITE-037,PART-1000,55,18,37,82,47,False,True,True,1.8,2024-09-26
